C B,BENEFICIARIO,RFC,FACTURAS,CONTRATO,CONCEPTO,TIPO,FDO - #OP,FECHA,IMPORTE,SHEET
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FB1451586-183011-5576,SFA-057-2022,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, NOVIEMBRE 2023",TR,351000928.0,2024-02-16,1054.76,CONTRATISTAS
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ5639878-183011-5575,SFA-057-2022,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, OCTUBRE 2023",TR,351000928.0,2024-02-16,5319.54,CONTRATISTAS
111017,PRAXAIR MEXICO S. DE R.L. DE C.V.,PME960701GG0,FZ5647715-183011-6158,SFA-057-2022,"SUMINISTRO DE OXIGENO, GASES MEDICINALES Y ACCESORIOS, OCTUBRE 2023",TR,351000928.0,2024-02-16,260020.49,CONTRATISTAS
113004,"CCT MEXICO, S.A. DE C.V.",CME9801304Q4,MTY25048-183011-5238,SIG-004-2022,"ARRENDAMIENTO DE EQUIPO DE COPIADO E IMPRESION, PERIODO SEPTIEMBRE 2023",TR,351000924.0,2024-02-16,438539.02,CONTRATISTAS
113004,"CCT MEXICO, S.A. DE C.V.",CME9801304Q4,MTY25162-183011-6636,SIG-004-2022,"ARRENDAMIENTO DE EQUIPO DE COPIADO E IMPRESION, PERIODO OCTUBRE 2023",TR,351000924.0,2024-02-16,478923.72,CONTRATISTAS
113737,"PROVEEDORA MERCANTIL ALBRU, S.A. DE C.V.",PMA031015EZ4,6D8D6-183011-6751,ORDEN DE COMPRA 10849,ADQUISICION DE IMPRESORA PARA LA COORDINACION EJECUTIVA DE ASUNTOS JURIDICOS DE LA CONTRALORIA,TR,356000029.0,2024-02-16,4872.0,CONTRATISTAS
114085,"BUFETE URBANISTICO, S.A. DE C.V.",BUR001114GL6,805-185004-5030,SIS-308-2023,"PROAGUA-2023 EST. 4-A SIS-PROAGUA-01/23-CP CONSTRUCCIÓN DE DRENAJE PLUVIAL ¿LUIS ECHEVERRÍA ÁLVAREZ¿ (PARTE FEDERAL) EN LAS CALLES MARCELO TORCUATO DE ALVEAR ENTRE PEDRO JUSTO Y TUCUMÁN EN LA COL. SAN MARTÍN EN EL MUNICIPIO DE MONTERREY, NUEVO LEÓN. ICOM/23185032",TR,360000022.0,2024-02-07,1059563.79,CONTRATISTAS
114085,"BUFETE URBANISTICO, S.A. DE C.V.",BUR001114GL6,806-185004-5029,SIS-308-2023,"PROAGUA-2023 EST. 4 SIS-PROAGUA-01/23-CP CONSTRUCCIÓN DE DRENAJE PLUVIAL ¿LUIS ECHEVERRÍA ÁLVAREZ¿ (PARTE FEDERAL) EN LAS CALLES MARCELO TORCUATO DE ALVEAR ENTRE PEDRO JUSTO Y TUCUMÁN EN LA COL. SAN MARTÍN EN EL MUNICIPIO DE MONTERREY, NUEVO LEÓN. ICOM/23185032",TR,360000022.0,2024-02-07,585565.07,CONTRATISTAS
114430,"KABLA COMERCIAL, S.A. DE C.V.",KCO040707BB5,357841-183011-6784,ORDEN DE COMPRA 10962,REPARACION Y CALIBRACION DE ALCOHOLIMETROS UTILIZADOS EN OPERATIVOS DE VIALIDAD Y TRANSITO,TR,352000013.0,2024-02-16,10579.2,CONTRATISTAS
114430,"KABLA COMERCIAL, S.A. DE C.V.",KCO040707BB5,352185-183011-6603,ORDEN DE COMPRA 10964,ADQUISICION DE ALCOHOLIMETROS UTILIZADOS EN LOS OPERATIVOS EFECTUADOS POR LA DIRECCION DE VIALIDAD Y TRANSITO DE LA IGO DE ESTA SECRETARIA,TR,355000319.0,2024-02-16,445113.17,CONTRATISTAS
114542,"INTER @ ENTER COMPUTADORAS, S.A. DE C.V.",IAE060118A50,AA10700-183011-6704,ORDEN DE COMPRA 10987,"SOLICITUD DE RENOVACIONDE LICENCIA LIVE STREAM PARA TRASMITIR LAS SESIONES DE CABILDO, DIRECCION DE AYUNTAMIENTO",TR,359000088.0,2024-02-16,30798.0,CONTRATISTAS
114852,"VALORES ENERGETICOS COMERCIALES Y DE SERVICIOS, S.A. DE C.V.",VEC921127I1A,AO-5960-183011-4655,SFA-088-2023,"CONSUMO DE GASOLINA DE LA SEMANA DEL  07 AL 13 AGOSTO 2023 N.C. AO-5965 POR 13,782.72",TR,351000904.0,2024-02-08,245149.34,CONTRATISTAS
114852,"VALORES ENERGETICOS COMERCIALES Y DE SERVICIOS, S.A. DE C.V.",VEC921127I1A,AO-5961-183011-4659,SFA-088-2023,"CONSUMO DE GASOLINA DE LA SEMANA DEL  14 AL 20 AGOSTO 2023 N.C. AO-5966 POR 5,969.92",TR,351000904.0,2024-02-08,231733.6,CONTRATISTAS
114852,"VALORES ENERGETICOS COMERCIALES Y DE SERVICIOS, S.A. DE C.V.",VEC921127I1A,AO-5962-183011-4669,SFA-088-2023,"CONSUMO DE GASOLINA DE LA SEMANA DEL  21 al 27 AGOSTO 2023 N.C. AO-5967 POR 11,259.28",TR,351000904.0,2024-02-08,239991.92,CONTRATISTAS
114852,"VALORES ENERGETICOS COMERCIALES Y DE SERVICIOS, S.A. DE C.V.",VEC921127I1A,AO-5963-183011-4792,SFA-088-2023,"CONSUMO DE GASOLINA DE LA SEMANA DEL  28 AL 31  AGOSTO 2023 N.C.AO-5968 POR 7,928.58",TR,351000904.0,2024-02-08,173104.68,CONTRATISTAS
114852,"VALORES ENERGETICOS COMERCIALES Y DE SERVICIOS, S.A. DE C.V.",VEC921127I1A,AO-5964-183011-4793,SFA-088-2023,"CONSUMO DE GASOLINA DE LA SEMANA DEL  01 AL 03 SEPTIEMBRE  2023 N.C.AO 5969 POR 4,196.50",TR,351000904.0,2024-02-08,57936.66,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51797-183011-6178,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE NOVIEMBRE 2023, RAMO 28",TR,351000903.0,2024-02-08,3300.0,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51798-183011-6168,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE NOVIEMBRE 2023, RAMO 28",TR,351000903.0,2024-02-08,12180.0,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51799-183011-6169,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE NOVIEMBRE 2023, RAMO 28",TR,351000903.0,2024-02-08,6333.32,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51805-183011-6181,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE NOVIEMBRE 2023, RAMO 28",TR,351000903.0,2024-02-08,21640.34,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51806-183011-6172,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE NOVIEMBRE 2023, RAMO 28",TR,351000903.0,2024-02-08,23954.0,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51807-183011-6174,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE NOVIEMBRE 2023, RAMO 28",TR,351000903.0,2024-02-08,23954.0,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51808-183011-6175,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE NOVIEMBRE 2023, RAMO 28",TR,351000903.0,2024-02-08,4174.22,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51809-183011-6176,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE NOVIEMBRE 2023, RAMO 28",TR,351000903.0,2024-02-08,60328.25,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51796-183011-6166,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE NOVIEMBRE 2023, RAMO 28",TR,351000908.0,2024-02-09,168577.82,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51800-183011-6170,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE NOVIEMBRE 2023, RAMO 28",TR,351000908.0,2024-02-09,11579.0,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51249-183011-5574,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE OCTUBRE 2023, RAMO 28",TR,351000926.0,2024-02-16,7636.01,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51253-183011-5567,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE OCTUBRE 2023, RAMO 28",TR,351000926.0,2024-02-16,143135.49,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51271-183011-5571,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE OCTUBRE 2023, RAMO 28",TR,351000926.0,2024-02-16,29000.0,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51291-183011-5568,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE OCTUBRE 2023, RAMO 28",TR,351000926.0,2024-02-16,6960.0,CONTRATISTAS
115395,HOSPITAL SAN FELIPE DE JESUS S.C.,HSF9710224P6,F51417-183011-5625,SFA-080-2023,"SERVICIOS DE ATENCION MEDICA ESPECIALIZADA Y HOSPITALIZACION DEL MES DE OCTUBRE 2023, RAMO 28",TR,351000926.0,2024-02-16,5220.0,CONTRATISTAS
115447,"FABERCON, S.A. DE C.V.",FAB0803318S3,F374-185004-5104,SIS-353-2023,"FISM-2023 EST. 1-A SIS-FAISMUN-03/23-IR ALUMBRADO PÚBLICO EN SENDERO BERNARDO REYES, ENTRE CALLES SAN SALVADOR Y ENRIQUE HERRERA, COLONIA ALTAMIRA, EN EL MUNICIPIO DE MONTERREY, NUEVO LEÓN  ICOM/23185051",TR,354000121.0,2024-02-06,43942.31,CONTRATISTAS
115447,"FABERCON, S.A. DE C.V.",FAB0803318S3,F376-185004-5103,SIS-353-2023,"FISM-2023 EST. 4 SIS-FAISMUN-03/23-IR ALUMBRADO PÚBLICO EN SENDERO BERNARDO REYES, ENTRE CALLES SAN SALVADOR Y ENRIQUE HERRERA, COLONIA ALTAMIRA, EN EL MUNICIPIO DE MONTERREY, NUEVO LEÓN  ICOM/23185051",TR,354000121.0,2024-02-06,223959.56,CONTRATISTAS
115447,"FABERCON, S.A. DE C.V.",FAB0803318S3,F380-185004-5105,SIS-353-2023,"FISM-2023 EST. 5 SIS-FAISMUN-03/23-IR ALUMBRADO PÚBLICO EN SENDERO BERNARDO REYES, ENTRE CALLES SAN SALVADOR Y ENRIQUE HERRERA, COLONIA ALTAMIRA, EN EL MUNICIPIO DE MONTERREY, NUEVO LEÓN  ICOM/23185051",TR,354000121.0,2024-02-06,1022889.14,CONTRATISTAS
115447,"FABERCON, S.A. DE C.V.",FAB0803318S3,F375-185004-5106,SIS-353-2023,"FISM-2023 EST. 1-E SIS-FAISMUN-03/23-IR ALUMBRADO PÚBLICO EN SENDERO BERNARDO REYES, ENTRE CALLES SAN SALVADOR Y ENRIQUE HERRERA, COLONIA ALTAMIRA, EN EL MUNICIPIO DE MONTERREY, NUEVO LEÓN  ICOM/23185051",TR,354000141.0,2024-02-16,314774.76,CONTRATISTAS
115789,"HISA FARMACEUTICA, S.A. DE C.V.",CHI990710I32,M126553-183011-5565,SFA-039-2022,"CONSUMO DE MEDICAMENTOS DEL 1 AL 3 DE NOVIEMBRE 2023, UNIDAD BUROCRATAS, RAMO 28",TR,351000905.0,2024-02-08,1250.0,CONTRATISTAS
115789,"HISA FARMACEUTICA, S.A. DE C.V.",CHI990710I32,M126554-183011-5566,SFA-039-2022,"CONSUMO DE MEDICAMENTOS DEL 1 AL 3 DE NOVIEMBRE 2023, UNIDAD BUROCRATAS, RAMO 28",TR,351000905.0,2024-02-08,95657.82,CONTRATISTAS
115789,"HISA FARMACEUTICA, S.A. DE C.V.",CHI990710I32,M126556-183011-5563,SFA-039-2022,"CONSUMO DE MEDICAMENTOS DEL 1 AL 3 DE NOVIEMBRE 2023, UNIDAD CUMBRES, RAMO 28",TR,351000909.0,2024-02-09,32751.18,CONTRATISTAS
115789,"HISA FARMACEUTICA, S.A. DE C.V.",CHI990710I32,M126558-183011-5564,SFA-039-2022,"CONSUMO DE MEDICAMENTOS DEL 1 AL 3 DE NOVIEMBRE 2023, UNIDAD CUMBRES, RAMO 28",TR,351000909.0,2024-02-09,1626488.03,CONTRATISTAS
115789,"HISA FARMACEUTICA, S.A. DE C.V.",CHI990710I32,M126432-183011-5622,SFA-039-2022,"CONSUMO DE MEDICAMENTOS DEL 23 AL 31 DE OCTUBRE 2023, UNIDAD BUROCRATAS, RAMO 28",TR,351000951.0,2024-02-23,7743.1,CONTRATISTAS
115789,"HISA FARMACEUTICA, S.A. DE C.V.",CHI990710I32,M126433-183011-5623,SFA-039-2022,"CONSUMO DE MEDICAMENTOS DEL 23 AL 31 DE OCTUBRE 2023, UNIDAD BUROCRATAS, RAMO 28",TR,351000951.0,2024-02-23,293386.47,CONTRATISTAS
115789,"HISA FARMACEUTICA, S.A. DE C.V.",CHI990710I32,M126856-183011-6149,SFA-039-2022,"CONSUMO DE MEDICAMENTOS DEL 6 AL 10 DE NOVIEMBRE 2023, UNIDAD BUROCRATAS, RAMO 28",TR,351000951.0,2024-02-23,7126.75,CONTRATISTAS
115789,"HISA FARMACEUTICA, S.A. DE C.V.",CHI990710I32,M126857-183011-6150,SFA-039-2022,"CONSUMO DE MEDICAMENTOS DEL 6 AL 10 DE NOVIEMBRE 2023, UNIDAD BUROCRATAS, RAMO 28",TR,351000951.0,2024-02-23,180783.65,CONTRATISTAS
115789,"HISA FARMACEUTICA, S.A. DE C.V.",CHI990710I32,M126858-183011-6146,SFA-039-2022,"CONSUMO DE MEDICAMENTOS DEL 6 AL 10 DE NOVIEMBRE 2023, UNIDAD CUMBRES, RAMO 28",TR,351000951.0,2024-02-23,101558.58,CONTRATISTAS
115793,"LIFETEC, S.A. DE C.V.",LIF030224JY6,A3929-183011-6586,ORDEN DE COMPRA 10927,"INSTRUMENTAL DENTAL PARA LOS DIFERENTES CENTROS DE SALUD MUNICIPAL, DIRECCION DE SALUD",TR,352000011.0,2024-02-09,136416.0,CONTRATISTAS
116028,LOPEZ MARTINEZ JULIAN,LOMJ7301091W7,A1055-183011-6733,ORDEN DE COMPRA 10896,"SUMINISTRO DE INSUMOS PARA LA EXPOISICON COLECTIVA ""LA HISTORIA LA CONTAMOS NOSOTRAS"" POR IRIS FEMINISTA",TR,352000018.0,2024-02-16,12748.2,CONTRATISTAS
116117,"URBANIZACIONES AGV, S.A. DE C.V.",UAG010828F33,2477-185004-732,SIS-446-2024,DISP-FEIEF-2023 30% ANT. SIS-RP-07/24-CP MEJORAMIENTO DE PENDIENTES EN PAVIMENTO DE CONCRETO ASFÁLTICO EN AV. REVOLUCIÓN 1a. ETAPA A LA ALTURA DEL ARROYO SECO EN EL MUNICIPIO DE MONTERREY NUEVO LEÓN.. ICOM/24185006,TR,352000023.0,2024-02-27,4469528.55,CONTRATISTAS
116217,"RED RECOLECTOR, S.A. DE C.V.",RRE9712222V9,FVRM0285456-183011-6681,SSP-157-13,SERVICIO DE RECOLECCION DE RESIDUOS NO PELIGROSOS Y LAVADO DE LOS BOTES CONTENEDORES PARA TRANSEUNTES CORRESPONDIENTE AL MES DE NOVIEMBRE DE 2023.,TR,341000321.0,2024-02-23,4215904.0,CONTRATISTAS
116286,SAMPOGNA GARZA JESUS IGNACIO,SAGJ460730HM1,399-183011-70,SRA-115-2023,ARRENDAMIENTO DE LAS OFICINAS DE LA DIRECCION DE CONCERTACION SOCIAL CORRESPONDIENTE AL MES DE DICIEMBRE DE 2023,TR,373000007.0,2024-02-16,14362.23,CONTRATISTAS
116356,"SWISSLAB, S.A. DE C.V.",SWI1201268J8,AS22625-183011-5387,SFA-014-2022,"SERVICIOS DE LABORATORIO DE ANALISIS CLINICOS, PERIODO DEL 1 AL 15 DE OCTUBRE 2023, RAMO 28",TR,351000929.0,2024-02-16,749808.58,CONTRATISTAS
116356,"SWISSLAB, S.A. DE C.V.",SWI1201268J8,AS22644-183011-5388,SFA-014-2022,"SERVICIOS DE LABORATORIO DE ANALISIS CLINICOS, PERIODO DEL 15 AL 31 DE OCTUBRE 2023, RAMO 28",TR,351000929.0,2024-02-16,1032645.95,CONTRATISTAS
116356,"SWISSLAB, S.A. DE C.V.",SWI1201268J8,AS22678-183011-5577,SFA-014-2022,"SERVICIOS DE LABORATORIO DE ANALISIS CLINICOS, PERIODO DEL 16 AL 30 DE SEPTIEMBRE 2023, RAMO 28",TR,351000929.0,2024-02-16,950741.94,CONTRATISTAS
116385,"GRANTE INMOBILIARIA, S.A. DE C.V.",GBR021021FQ0,B-4409-183011-6417,SFA-083-2023,ARRENDAMIENTO DE LAS OFICINAS DE RECAUDACION INMOBILIARIA UBICADAS EN PLAZA LA SILLA LOCAL A-8 CORRESPONDIENTE AL MES DE DICIEMBRE DE 2023,TR,351000953.0,2024-02-23,9061.43,CONTRATISTAS
116420,"COMERCIALIZADORA DE EQUIPO MEDICO E INDUSTRIAL ORTIZ, SA.DE CV.",CEM101105NT7,F508-183011-6787,ORDEN DE COMPRA 10928,MEDICAMENTO Y MATERIAL MEDICO PARA 5 MALETINES DE PRIMEROS AUXILIOS,TR,352000019.0,2024-02-16,869935.04,CONTRATISTAS
116452,"GRUPO ROSH, S.A. DE C.V.",GRO090723GS1,1213-183011-6698,SFA-DGA-DASG/CC/0126.21/2023,"ADQUISICION DE 5 BANNER LONA (0.80 X 1.80 MTS.) CON ESTRUCTURA REFORZADA, PARA LAS ESTACIONES DE ENFRIAMIENTO (PROVISIONES ECONOMICAS 2023)",TR,335000023.0,2024-02-16,13050.0,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4219-183011-5850,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA CENTRO (CARPETA) DEL 4 AL 8 DE SEPTIEMBRE DEL 2023, RAMO 28",TR,351000906.0,2024-02-08,674452.48,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4220-183011-5851,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA CENTRO (CARPETA) DEL 5 DE SEPTIEMBRE DEL 2023, RAMO 28",TR,351000906.0,2024-02-08,394456.36,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4282-183011-5801,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA HUAJUCO (EMULSION ASFALTICA) DEL 2 DE OCTUBRE DEL 2023, RAMO 28",TR,351000906.0,2024-02-08,23872.8,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4293-183011-5802,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA HUAJUCO (EMULSION ASFALTICA) DEL 9 DE OCTUBRE DEL 2023, RAMO 28",TR,351000906.0,2024-02-08,23872.8,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4307-183011-5803,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA HUAJUCO (EMULSION ASFALTICA) DEL 16 DE OCTUBRE DEL 2023, RAMO 28",TR,351000906.0,2024-02-08,23872.8,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4322-183011-5804,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA HUAJUCO (EMULSION ASFALTICA) DEL 23 DE OCTUBRE DEL 2023, RAMO 28",TR,351000906.0,2024-02-08,23872.8,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4230-183011-5852,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA CENTRO (CARPETA) DEL 11 AL 15 DE SEPTIEMBRE DEL 2023, RAMO 28",TR,351000907.0,2024-02-08,674374.2,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4246-183011-5854,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA CENTRO (CARPETA) DEL 18 AL 22 DE SEPTIEMBRE DEL 2023, RAMO 28",TR,351000907.0,2024-02-08,676918.2,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4262-183011-5855,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA CENTRO (CARPETA) DEL 25 AL 29 DE SEPTIEMBRE DEL 2023, RAMO 28",TR,351000907.0,2024-02-08,680166.68,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4263-183011-5857,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA CENTRO (CARPETA) DEL 26 DE SEPTIEMBRE DEL 2023, RAMO 28",TR,351000907.0,2024-02-08,392792.98,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4159-183011-5148,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA CENTRO (CARPETA) DEL 31 DE JULIO AL 4 DE AGOSTO DEL 2023, RAMO 28",TR,351000917.0,2024-02-09,675783.18,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4170-183011-5150,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA CENTRO (CARPETA) DEL 7 AL 11 DE AGOSTO DEL 2023, RAMO 28",TR,351000917.0,2024-02-09,717348.16,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4181-183011-5152,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA CENTRO (CARPETA) DEL 14 AL 18 DE AGOSTO DEL 2023, RAMO 28",TR,351000917.0,2024-02-09,711555.68,CONTRATISTAS
116459,"INTERASFALTOS, S.A. DE C.V.",INT131217BU0,4182-183011-5153,SSP-322-2023,"INSUMOS P/BACHEO P/LA OPERATIVIDAD DE LA D. G. O., ZONA CENTRO (CARPETA) DEL 15 DE AGOSTO DEL 2023, RAMO 28",TR,351000917.0,2024-02-09,392088.49,CONTRATISTAS
